Nivel,Facultad,Carrera,Código,Asignatura,Créditos,Requisitos
7,Ciencias de la Salud,Terapia Física,TF205,Gestión en Salud,4,NU277
7,Ciencias de la Salud,Terapia Física,TF182,Proyecto de Tesis 1,3,TF199
8,Ciencias de la Salud,Terapia Física,TF176,Emprendedurismo,4,TF205
8,Ciencias de la Salud,Terapia Física,TF181,Externado,5,"TF193,TF192"
8,Ciencias de la Salud,Terapia Física,TF194,Fisioterapia Deportiva,3,TF189
8,Ciencias de la Salud,Terapia Física,TF180,Seminario Integrador 1,1,TF198
9,Ciencias de la Salud,Terapia Física,TF183,Fisioterapia en Comunidad,11,TF181
9,Ciencias de la Salud,Terapia Física,TF184,Proyecto de Tesis 2,3,TF182
9,Ciencias de la Salud,Terapia Física,TF185,Seminario Integrador 2,1,TF180
10,Ciencias de la Salud,Terapia Física,TF206,CTI Trabajo de Investigación y Fisioterapia Clínica,12,"TF181,TF194,TF183,TF185"
1,Ciencias Humanas,Traducción e Interpretación Profesional,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional,HU705,Crítica y Comunicación,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional,TR444,Inglés TI 1,5,
1,Ciencias Humanas,Traducción e Interpretación Profesional,TR447,Lengua 1,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional,HU713,Pensamiento Crítico Aplicado,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional,HU706,Sistemas y Sociedad,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional,TR472,Gramática del Español 1,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional,TR446,Inglés TI 2,5,TR444
2,Ciencias Humanas,Traducción e Interpretación Profesional,TR474,Lengua 2,3,TR447
2,Ciencias Humanas,Traducción e Interpretación Profesional,TR513,Lengua C1,5,
3,Ciencias Humanas,Traducción e Interpretación Profesional,TR445,Entornos Globales,3,
3,Ciencias Humanas,Traducción e Interpretación Profesional,TR473,Gramática del Español 2,3,TR472
3,Ciencias Humanas,Traducción e Interpretación Profesional,TR484,Gramática del Inglés,3,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional,TR449,Inglés TI 3,5,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional,TR514,Lengua C2,5,TR513
4,Ciencias Humanas,Traducción e Interpretación Profesional,TR476,Análisis Textual para la Traducción,3,TR473
4,Ciencias Humanas,Traducción e Interpretación Profesional,TR523,Grmática de Lengua C,3,TR514
4,Ciencias Humanas,Traducción e Interpretación Profesional,TR451,Inglés TI 4,5,TR449
4,Ciencias Humanas,Traducción e Interpretación Profesional,TR479,Iniciación a la Traducción,3,"TR484,TR449"
4,Ciencias Humanas,Traducción e Interpretación Profesional,TR515,Lengua C3,5,TR514
5,Ciencias Humanas,Traducción e Interpretación Profesional,TR522,Antropología Cultural,2,TR445
5,Ciencias Humanas,Traducción e Interpretación Profesional,TR477,Estilística Contrastiva,3,TR476
5,Ciencias Humanas,Traducción e Interpretación Profesional,TR453,Inglés TI 5,5,TR451
5,Ciencias Humanas,Traducción e Interpretación Profesional,TR516,Lengua C4,5,TR515
5,Ciencias Humanas,Traducción e Interpretación Profesional,TR526,Traducción Directa Del Inglés 1,3,"TR451,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional,TR524,Introducción a la Interpretación,4,"TR453,TR526"
6,Ciencias Humanas,Traducción e Interpretación Profesional,TR517,Lengua C5,5,TR516
6,Ciencias Humanas,Traducción e Interpretación Profesional,TR456,Lengua y Cultura Inglesa,3,"TR522,TR453"
6,Ciencias Humanas,Traducción e Interpretación Profesional,TR518,Traducción Directa Lengua C1,3,"TR479,TR516"
6,Ciencias Humanas,Traducción e Interpretación Profesional,TR459,Traducción Directa del Inglés 2,3,TR526
6,Ciencias Humanas,Traducción e Interpretación Profesional,TR480,Writing Techniques for Translators,3,"TR453,TR526"
7,Ciencias Humanas,Traducción e Interpretación Profesional,TR481,Iniciación a la Traducción Especializada,3,TR459
7,Ciencias Humanas,Traducción e Interpretación Profesional,TR478,Introducción A La Traductología,3,TR476
7,Ciencias Humanas,Traducción e Interpretación Profesional,TR519,Lengua y Cultura Lengua C,3,"TR522,TR517"
7,Ciencias Humanas,Traducción e Interpretación Profesional,TR464,Spanish-To-English Translation 1,3,TR480
7,Ciencias Humanas,Traducción e Interpretación Profesional,TR520,Traducción Directa Lengua C2,3,TR518
8,Ciencias Humanas,Traducción e Interpretación Profesional,TR442,Comunicación Intercultural,3,TR522
8,Ciencias Humanas,Traducción e Interpretación Profesional,TR465,Metodología de la Investigación,3,TR478
8,Ciencias Humanas,Traducción e Interpretación Profesional,TR457,Software Especializado 1,3,TR526
8,Ciencias Humanas,Traducción e Interpretación Profesional,TR467,Spanish-To-English Translation 2,3,TR464
8,Ciencias Humanas,Traducción e Interpretación Profesional,TR466,Traducción Especializada 1,3,TR481
9,Ciencias Humanas,Traducción e Interpretación Profesional,TR468,Seminario de Tesis 1,3,TR465
9,Ciencias Humanas,Traducción e Interpretación Profesional,TR462,Software Especializado 2,3,TR457
9,Ciencias Humanas,Traducción e Interpretación Profesional,TR482,Spanish-To-English Translation 3,4,TR467
9,Ciencias Humanas,Traducción e Interpretación Profesional,TR469,Traducción Especializada 2,4,TR466
10,Ciencias Humanas,Traducción e Interpretación Profesional,TR470,CTI Seminario de Tesis 2,4,TR468
10,Ciencias Humanas,Traducción e Interpretación Profesional,TR483,Revisión y Posedición,3,TR481
10,Ciencias Humanas,Traducción e Interpretación Profesional,TR471,Traducción Especializada 3,4,TR469
10,Ciencias Humanas,Traducción e Interpretación Profesional,TR525,Ética Profesional,2,160CRED
1,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,HU705,Crítica y Comunicación,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR444,Inglés TI 1,5,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR447,Lengua 1,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,HU713,Pensamiento Crítico Aplicado,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,HU706,Sistemas y Sociedad,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR448,Chino TI 1,5,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR472,Gramática del Español 1,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR446,Inglés TI 2,5,TR444
2,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR474,Lengua 2,3,TR447
3,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR450,Chino TI 2,5,TR448
3,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR445,Entornos Globales,3,
3,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR473,Gramática del Español 2,3,TR472
3,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR484,Gramática del Inglés,3,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR449,Inglés TI 3,5,TR446
4,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR476,Análisis Textual para la Traducción,3,TR473
4,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR452,Chino TI 3,5,TR450
4,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR485,Gramática del Chino,3,TR450
4,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR451,Inglés TI 4,5,TR449
4,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR479,Iniciación a la Traducción,3,"TR484,TR449"
5,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR522,Antropología Cultural,2,TR445
5,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR455,Chino TI 4,5,TR452
5,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR477,Estilística Contrastiva,3,TR476
5,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR453,Inglés TI 5,5,TR451
5,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR526,Traducción Directa Del Inglés 1,3,"TR451,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR460,Chino TI 5,5,TR455
6,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR524,Introducción a la Interpretación,4,"TR453,TR526"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR456,Lengua y Cultura Inglesa,3,"TR522,TR453"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR458,Traducción Directa del Chino 1,3,"TR455,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR459,Traducción Directa del Inglés 2,3,TR526
6,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR480,Writing Techniques for Translators,3,"TR453,TR526"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR481,Iniciación a la Traducción Especializada,3,TR459
7,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR478,Introducción A La Traductología,3,TR476
7,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR461,Lengua y Cultura Chino,3,"TR522,TR460"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR464,Spanish-To-English Translation 1,3,TR480
7,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR463,Traducción Directa del Chino 2,3,TR458
8,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR442,Comunicación Intercultural,3,TR522
8,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR465,Metodología de la Investigación,3,TR478
8,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR457,Software Especializado 1,3,TR526
8,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR467,Spanish-To-English Translation 2,3,TR464
8,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR466,Traducción Especializada 1,3,TR481
9,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR468,Seminario de Tesis 1,3,TR465
9,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR462,Software Especializado 2,3,TR457
9,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR482,Spanish-To-English Translation 3,4,TR467
9,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR469,Traducción Especializada 2,4,TR466
10,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR470,CTI Seminario de Tesis 2,4,TR468
10,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR483,Revisión y Posedición,3,TR481
10,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR471,Traducción Especializada 3,4,TR469
10,Ciencias Humanas,Traducción e Interpretación Profesional - Chino,TR525,Ética Profesional,2,160CRED
1,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,HU705,Crítica y Comunicación,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR444,Inglés TI 1,5,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR447,Lengua 1,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,HU713,Pensamiento Crítico Aplicado,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,HU706,Sistemas y Sociedad,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR495,Francés TI 1,5,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR472,Gramática del Español 1,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR446,Inglés TI 2,5,TR444
2,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR474,Lengua 2,3,TR447
3,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR445,Entornos Globales,3,
3,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR496,Francés TI 2,5,TR495
3,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR473,Gramática del Español 2,3,TR472
3,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR484,Gramática del Inglés,3,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR449,Inglés TI 3,5,TR446
4,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR476,Análisis Textual para la Traducción,3,TR473
4,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR497,Francés TI 3,5,TR496
4,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR503,Gramática del Francés,3,TR496
4,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR451,Inglés TI 4,5,TR449
4,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR479,Iniciación a la Traducción,3,"TR484,TR449"
5,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR522,Antropología Cultural,2,TR445
5,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR477,Estilística Contrastiva,3,TR476
5,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR498,Francés TI 4,5,TR497
5,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR453,Inglés TI 5,5,TR451
5,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR526,Traducción Directa Del Inglés 1,3,"TR451,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR499,Francés TI 5,5,TR498
6,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR524,Introducción a la Interpretación,4,"TR453,TR526"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR456,Lengua y Cultura Inglesa,3,"TR522,TR453"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR500,Traducción Directa del Francés 1,3,"TR498,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR459,Traducción Directa del Inglés 2,3,TR526
6,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR480,Writing Techniques for Translators,3,"TR453,TR526"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR481,Iniciación a la Traducción Especializada,3,TR459
7,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR478,Introducción A La Traductología,3,TR476
7,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR501,Lengua y Cultura Francés,3,"TR522,TR499"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR464,Spanish-To-English Translation 1,3,TR480
7,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR502,Traducción Directa del Francés 2,3,TR500
8,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR442,Comunicación Intercultural,3,TR522
8,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR465,Metodología de la Investigación,3,TR478
8,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR457,Software Especializado 1,3,TR526
8,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR467,Spanish-To-English Translation 2,3,TR464
8,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR466,Traducción Especializada 1,3,TR481
9,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR468,Seminario de Tesis 1,3,TR465
9,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR462,Software Especializado 2,3,TR457
9,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR482,Spanish-To-English Translation 3,4,TR467
9,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR469,Traducción Especializada 2,4,TR466
10,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR470,CTI Seminario de Tesis 2,4,TR468
10,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR483,Revisión y Posedición,3,TR481
10,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR471,Traducción Especializada 3,4,TR469
10,Ciencias Humanas,Traducción e Interpretación Profesional - Frances,TR525,Ética Profesional,2,160CRED
1,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,HU705,Crítica y Comunicación,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR444,Inglés TI 1,5,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR447,Lengua 1,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,HU713,Pensamiento Crítico Aplicado,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,HU706,Sistemas y Sociedad,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR472,Gramática del Español 1,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR446,Inglés TI 2,5,TR444
2,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR474,Lengua 2,3,TR447
2,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR486,Portugués TI 1,5,
3,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR445,Entornos Globales,3,
3,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR473,Gramática del Español 2,3,TR472
3,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR484,Gramática del Inglés,3,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR449,Inglés TI 3,5,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR487,Portugués TI 2,5,TR486
4,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR476,Análisis Textual para la Traducción,3,TR473
4,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR494,Gramática del Portugués,3,TR487
4,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR451,Inglés TI 4,5,TR449
4,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR479,Iniciación a la Traducción,3,"TR484,TR449"
4,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR488,Portugués TI 3,5,TR487
5,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR522,Antropología Cultural,2,TR445
5,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR477,Estilística Contrastiva,3,TR476
5,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR453,Inglés TI 5,5,TR451
5,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR489,Portugués TI 4,5,TR488
5,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR526,Traducción Directa Del Inglés 1,3,"TR451,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR524,Introducción a la Interpretación,4,"TR453,TR526"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR456,Lengua y Cultura Inglesa,3,"TR522,TR453"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR490,Portugués TI 5,5,TR489
6,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR459,Traducción Directa del Inglés 2,3,TR526
6,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR491,Traducción Directa del Portugués 1,3,"TR479,TR489"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR480,Writing Techniques for Translators,3,"TR453,TR526"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR481,Iniciación a la Traducción Especializada,3,TR459
7,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR478,Introducción A La Traductología,3,TR476
7,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR492,Lengua y Cultura Portugués,3,"TR522,TR490"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR464,Spanish-To-English Translation 1,3,TR480
7,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR493,Traducción Directa del Portugués 2,3,TR491
8,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR442,Comunicación Intercultural,3,TR522
8,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR465,Metodología de la Investigación,3,TR478
8,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR457,Software Especializado 1,3,TR526
8,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR467,Spanish-To-English Translation 2,3,TR464
8,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR466,Traducción Especializada 1,3,TR481
9,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR468,Seminario de Tesis 1,3,TR465
9,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR462,Software Especializado 2,3,TR457
9,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR482,Spanish-To-English Translation 3,4,TR467
9,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR469,Traducción Especializada 2,4,TR466
10,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR470,CTI Seminario de Tesis 2,4,TR468
10,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR483,Revisión y Posedición,3,TR481
10,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR471,Traducción Especializada 3,4,TR469
10,Ciencias Humanas,Traducción e Interpretación Profesional - Portugués,TR525,Ética Profesional,2,160CRED
1,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,HU705,Crítica y Comunicación,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR444,Inglés TI 1,5,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR447,Lengua 1,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,HU713,Pensamiento Crítico Aplicado,3,
1,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,HU706,Sistemas y Sociedad,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR472,Gramática del Español 1,3,
2,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR446,Inglés TI 2,5,TR444
2,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR474,Lengua 2,3,TR447
2,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR504,Quechua TI 1,5,
3,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR445,Entornos Globales,3,
3,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR473,Gramática del Español 2,3,TR472
3,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR484,Gramática del Inglés,3,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR449,Inglés TI 3,5,TR446
3,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR505,Quechua TI 2,5,TR504
4,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR476,Análisis Textual para la Traducción,3,TR473
4,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR512,Gramática del Quechua,3,TR505
4,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR451,Inglés TI 4,5,TR449
4,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR479,Iniciación a la Traducción,3,"TR484,TR449"
4,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR506,Quechua TI 3,5,TR505
5,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR522,Antropología Cultural,2,TR445
5,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR477,Estilística Contrastiva,3,TR476
5,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR453,Inglés TI 5,5,TR451
5,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR507,Quechua TI 4,5,TR506
5,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR526,Traducción Directa Del Inglés 1,3,"TR451,TR479"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR524,Introducción a la Interpretación,4,"TR453,TR526"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR456,Lengua y Cultura Inglesa,3,"TR522,TR453"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR508,Quechua TI 5,5,TR507
6,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR459,Traducción Directa del Inglés 2,3,TR526
6,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR509,Traducción Directa del Quechua 1,3,"TR479,TR507"
6,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR480,Writing Techniques for Translators,3,"TR453,TR526"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR481,Iniciación a la Traducción Especializada,3,TR459
7,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR478,Introducción A La Traductología,3,TR476
7,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR510,Lengua y Cultura Quechua,3,"TR522,TR508"
7,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR464,Spanish-To-English Translation 1,3,TR480
7,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR511,Traducción Directa del Quechua 2,3,TR509
8,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR442,Comunicación Intercultural,3,TR522
8,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR465,Metodología de la Investigación,3,TR478
8,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR457,Software Especializado 1,3,TR526
8,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR467,Spanish-To-English Translation 2,3,TR464
8,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR466,Traducción Especializada 1,3,TR481
9,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR468,Seminario de Tesis 1,3,TR465
9,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR462,Software Especializado 2,3,TR457
9,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR482,Spanish-To-English Translation 3,4,TR467
9,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR469,Traducción Especializada 2,4,TR466
10,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR470,CTI Seminario de Tesis 2,4,TR468
10,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR483,Revisión y Posedición,3,TR481
10,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR471,Traducción Especializada 3,4,TR469
10,Ciencias Humanas,Traducción e Interpretación Profesional - Quechua,TR525,Ética Profesional,2,160CRED
1,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU712,Aprendizaje Estratégico y Liderazgo,3,
1,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,CO39,"Comunicación, Audiencias Y Nuevas Narrativas",3,
1,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU705,Crítica y Comunicación,3,
1,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,MA715,Matemática Básica,5,
1,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU713,Pensamiento Crítico Aplicado,3,
1,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU706,Sistemas y Sociedad,3,
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,PE86,Antropología Social,3,
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,MA724,Estadística para Comunicadores,4,MA715
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU717,Historia Contemporánea,3,
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,AV104,Historia Del Cine,3,
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU695,Seminario de Investigación Académica I,2,HU705
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,HU722,Temas de Historia del Perú GEN,4,
2,Comunicaciones,Comunicación Audiovisual y Medios Interactivos,AV103,Teoría De La Imagen Y El Sonido,3,
